title,book_desc,writer,illustrator,publisher,publication_date,genre,isbn,setisbn,fnshYn,book_image
불사신룡 12권,"낙방서생 이환!,비리에 물든 과거시험을 한탄하며 귀환하던 이환은 염라부 귀졸들의 횡포에 분연히 나섰다가 벼랑으로 추락한다. 그를 구해준 사람은 불사신룡(不死神龍) 이군악! 암습을 당해 죽음에 이른 이군악의 무공을 개정대법으로 전수받은 이환은 불사신룡으로 거듭나게 된다. 천세십장생의 후예들이 창건한 천하오패의 전성시대! 그러나 과거 십장생에 의해 괴멸됐던 마도 집단이 결집한 암흑마국(暗黑魔國)의 침공으로 인해 천하는 피로 물들게 된다.",야설록,야설록,미스터블루,20210527,미상,9791109376240,000-0-00-000000-0,N,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=3000260717	2024-01-30 17:30:43.998890	2024-01-30 17:30:43.998890

불사신룡 11권,"낙방서생 이환!
비리에 물든 과거시험을 한탄하며 귀환하던 이환은
염라부 귀졸들의 횡포에 분연히 나섰다가 벼랑으로 추락한다.
그를 구해준 사람은 불사신룡(不死神龍) 이군악!
암습을 당해 죽음에 이른 이군악의 무공을
개정대법으로 전수받은 이환은 불사신룡으로 거듭나게 된다.
천세십장생의 후예들이 창건한 천하오패의 전성시대!
그러나 과거 십장생에 의해 괴멸됐던 마도 집단이 결집한
암흑마국(暗黑魔國)의 침공으로 인해 천하는 피로 물들게 된다.",야설록,야설록,미스터블루,20210527,미상,9791109376233,000-0-00-000000-0,N,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=3000260720	2024-01-30 17:30:44.058565	2024-01-30 17:30:44.058565

불사신룡 10권,"낙방서생 이환!
비리에 물든 과거시험을 한탄하며 귀환하던 이환은
염라부 귀졸들의 횡포에 분연히 나섰다가 벼랑으로 추락한다.
그를 구해준 사람은 불사신룡(不死神龍) 이군악!
암습을 당해 죽음에 이른 이군악의 무공을
개정대법으로 전수받은 이환은 불사신룡으로 거듭나게 된다.
천세십장생의 후예들이 창건한 천하오패의 전성시대!
그러나 과거 십장생에 의해 괴멸됐던 마도 집단이 결집한
암흑마국(暗黑魔國)의 침공으로 인해 천하는 피로 물들게 된다.",야설록,야설록,미스터블루,20210526,미상,9791109376226,000-0-00-000000-0,N,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=3000260340	2024-01-30 17:30:44.101193	2024-01-30 17:30:44.101193

묵불 세트,"영겁 같던 구년면벽(九年面壁)의 고행이 끝났다.
허나 구 년 만에 나온 속세에
더 이상 산 자를 위한 세상은 존재하지 않는구나….
사자(死者)가 산 자를 물어뜯는 생지옥…
불심(佛心) 가득 담긴 이 주먹으로 모조리 부숴주마!",야설록,야설록,미스터블루,20210607,미상,9791109382609,000-0-00-000000-0,N,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=3000255289	2024-01-30 17:30:44.144089	2024-01-30 17:30:44.144089

묵불 2권,"영겁 같던 구년면벽(九年面壁)의 고행이 끝났다.
허나 구 년 만에 나온 속세에
더 이상 산 자를 위한 세상은 존재하지 않는구나….
사자(死者)가 산 자를 물어뜯는 생지옥…
불심(佛心) 가득 담긴 이 주먹으로 모조리 부숴주마!",야설록,야설록,미스터블루,20210607,미상,9791109382623,000-0-00-000000-0,N,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=3000255291	2024-01-30 17:30:44.195306	2024-01-30 17:30:44.195306

묵불 1권,"영겁 같던 구년면벽(九年面壁)의 고행이 끝났다.
허나 구 년 만에 나온 속세에
더 이상 산 자를 위한 세상은 존재하지 않는구나….
사자(死者)가 산 자를 물어뜯는 생지옥…
불심(佛心) 가득 담긴 이 주먹으로 모조리 부숴주마!",야설록,야설록,미스터블루,20210607,미상,9791109382616,000-0-00-000000-0,N,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=3000255290	2024-01-30 17:30:44.233881	2024-01-30 17:30:44.233881

무적호위 세트,"제혼금침에 당해 오직 명령에만 충실한 꼭두각시 운비.
그의 기억이 돌아왔다.
원수는 바로 친부…!
용서는 없다.
천하최강이든 뭐든 부숴버리고 말 테다!!!",사마달,사마달,미스터블루,20210506,미상,9791109374802,000-0-00-000000-0,N,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=3000258787	2024-01-30 17:30:44.291926	2024-01-30 17:30:44.291926

무적호위 9권,"제혼금침에 당해 오직 명령에만 충실한 꼭두각시 운비.
그의 기억이 돌아왔다.
원수는 바로 친부…!
용서는 없다.
천하최강이든 뭐든 부숴버리고 말 테다!!!",사마달,사마달,미스터블루,20210512,미상,9791109374895,000-0-00-000000-0,N,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=3000259544	2024-01-30 17:30:44.330939	2024-01-30 17:30:44.330939

무적호위 8권,"제혼금침에 당해 오직 명령에만 충실한 꼭두각시 운비.
그의 기억이 돌아왔다.
원수는 바로 친부…!
용서는 없다.
천하최강이든 뭐든 부숴버리고 말 테다!!!",사마달,사마달,미스터블루,20210511,미상,9791109374888,000-0-00-000000-0,N,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=3000259173	2024-01-30 17:30:44.386447	2024-01-30 17:30:44.386447

